Handle,Command,Title,Body HTML,Vendor,Type,Tags,Tags Command,Status,Published,Smart Collections,Variant SKU,Variant Barcode,Variant Weight,Variant Weight Unit,Variant Price,Variant Compare At Price,Variant Taxable,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Inventory Qty,Image Type,Image Src,Image Command,Image Alt Text,Metafield: ha_fields.guide [single_line_text_field],Metafield: ha_fields.condition [single_line_text_field],Metafield: ha_fields.cleaning [multi_line_text_field],Metafield: ha_fields.composition [multi_line_text_field],Metafield: ha_fields.size [single_line_text_field],Metafield: mm-google-shopping.condition [string],Metafield: ha_fields.measurements [multi_line_text_field],color,Style,Gender,seller tag,NEW IN
Gucci Double G 1708065495000848,MERGE,Gucci Double G,"
Brand: Gucci
Model: Double G
Color: Silver
Material: Plastic
Inclusions: case
Dimensions: lensheight : ~ 3.4 cm (including frame) frame : ~ 12.7 cm temple : ~ 13.6 cm
Serial number: GG1775/S
Country of origin: Italy


Assured Product Authenticity: This product is supplied by a renowned and trusted partner.
With this purchase, you are preserving iconic craftsmanship, celebrating heritage, and embracing the beauty of conscious shopping.

",Gucci,accessories,"color:Silver, Style:glasses, accessories, Woman, TBC",REPLACE,Active,TRUE,"Woman, Gucci, accessories",1708065495000848,1708065495000848,1,Kg,115,0,TRUE,shopify,deny,manual,TRUE,1,IMAGES,http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/022024/991451-0_1708065526_1708075399.jpeg;http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/022024/991451-2_1708065525_1708075399.jpeg;http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/022024/991451-1_1708065527.jpeg;http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/022024/991451-4_1708065527.jpeg;http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/022024/991451-3_1708065526.jpeg;http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/022024/991451-6_1708065527.jpeg;http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/022024/991451-5_1708065526.jpeg,MERGE,Gucci glasses,accessories,Very Good,Professional Clean,Plastic,One Size,used,lensheight : ~ 3.4 cm (including frame) frame : ~ 12.7 cm temple : ~ 13.6 cm,Silver,glasses,Woman,TBC,
Hermès Carré 90 1691261219141544,MERGE,Hermès Carré 90,"
Brand: Hermès
Model: Carré 90
Color: Multicolour
Material: Silk
Inclusions: /
Dimensions: 90cm x 90cm
Serial number: N/A
Country of origin: France
Retail price: 460,0€


Assured Product Authenticity: This product is supplied by a renowned and trusted partner.
With this purchase, you are preserving iconic craftsmanship, celebrating heritage, and embracing the beauty of conscious shopping.

",Hermès,accessories,"color:Multicolour, Style:scarf, accessories, Woman, TBC",REPLACE,Active,TRUE,"Woman, Hermès, accessories",1691261219141544,1691261219141544,1,Kg,289,0,TRUE,shopify,deny,manual,TRUE,1,IMAGES,http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/082023/838821-0_1691261257.jpeg;http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/082023/838821-3_1691261259.jpeg;http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/082023/838821-12_1691261256.jpeg;http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/082023/838821-2_1691261260.jpeg;http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/082023/838821-1_1691261261.jpeg;http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/082023/838821-7_1691261257.jpeg;http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/082023/838821-13_1691261256.jpeg;http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/082023/838821-8_1691261257.jpeg;http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/082023/838821-11_1691261256.jpeg;http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/082023/838821-10_1691261256.jpeg;http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/082023/838821-9_1691261256.jpeg;http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/082023/838821-6_1691261257.jpeg;http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/082023/838821-4_1691261258.jpeg;http://tbc-oldproject.s3.fr-par.scw.cloud/tbc-oldproject/public/img/082023/838821-5_1691261258.jpeg,MERGE,Hermès scarf,accessories,Very Good,Professional Clean,Silk,One Size,used,90cm x 90cm,Multicolour,scarf,Woman,TBC,
